Giorno	Categoria	Click
03/01/2020	Programmi Adobe	940
03/01/2020	Editor di codice	
03/01/2020	Browser	236
03/01/2020	App di sistema	543
03/01/2020	App di comunicazione	
03/01/2020	Altro	159
03/02/2020	Programmi Adobe	66
03/02/2020	Editor di codice	
03/02/2020	Browser	766
03/02/2020	App di sistema	1347
03/02/2020	App di comunicazione	
03/02/2020	Altro	849
03/03/2020	Programmi Adobe	
03/03/2020	Editor di codice	
03/03/2020	Browser	938
03/03/2020	App di sistema	103
03/03/2020	App di comunicazione	
03/03/2020	Altro	709
03/04/2020	Programmi Adobe	19
03/04/2020	Editor di codice	
03/04/2020	Browser	794
03/04/2020	App di sistema	758
03/04/2020	App di comunicazione	
03/04/2020	Altro	1458
03/05/2020	Programmi Adobe	
03/05/2020	Editor di codice	854
03/05/2020	Browser	1132
03/05/2020	App di sistema	574
03/05/2020	App di comunicazione	
03/05/2020	Altro	549
03/06/2020	Programmi Adobe	
03/06/2020	Editor di codice	
03/06/2020	Browser	
03/06/2020	App di sistema	
03/06/2020	App di comunicazione	
03/06/2020	Altro	
03/07/2020	Programmi Adobe	670
03/07/2020	Editor di codice	
03/07/2020	Browser	396
03/07/2020	App di sistema	1697
03/07/2020	App di comunicazione	
03/07/2020	Altro	79
03/08/2020	Programmi Adobe	319
03/08/2020	Editor di codice	1
03/08/2020	Browser	44
03/08/2020	App di sistema	562
03/08/2020	App di comunicazione	
03/08/2020	Altro	174
03/09/2020	Programmi Adobe	75
03/09/2020	Editor di codice	396
03/09/2020	Browser	1840
03/09/2020	App di sistema	276
03/09/2020	App di comunicazione	
03/09/2020	Altro	466
03/10/2020	Programmi Adobe	54
03/10/2020	Editor di codice	
03/10/2020	Browser	63
03/10/2020	App di sistema	256
03/10/2020	App di comunicazione	
03/10/2020	Altro	86
03/11/2020	Programmi Adobe	
03/11/2020	Editor di codice	
03/11/2020	Browser	28
03/11/2020	App di sistema	305
03/11/2020	App di comunicazione	
03/11/2020	Altro	102
03/12/2020	Programmi Adobe	359
03/12/2020	Editor di codice	
03/12/2020	Browser	18
03/12/2020	App di sistema	218
03/12/2020	App di comunicazione	
03/12/2020	Altro	5
03/13/2020	Programmi Adobe	5
03/13/2020	Editor di codice	
03/13/2020	Browser	29
03/13/2020	App di sistema	72
03/13/2020	App di comunicazione	23
03/13/2020	Altro	53
03/14/2020	Programmi Adobe	4
03/14/2020	Editor di codice	
03/14/2020	Browser	57
03/14/2020	App di sistema	68
03/14/2020	App di comunicazione	2
03/14/2020	Altro	45
03/15/2020	Programmi Adobe	
03/15/2020	Editor di codice	
03/15/2020	Browser	
03/15/2020	App di sistema	
03/15/2020	App di comunicazione	
03/15/2020	Altro	
03/16/2020	Programmi Adobe	188
03/16/2020	Editor di codice	388
03/16/2020	Browser	2056
03/16/2020	App di sistema	739
03/16/2020	App di comunicazione	64
03/16/2020	Altro	939
03/17/2020	Programmi Adobe	9
03/17/2020	Editor di codice	
03/17/2020	Browser	87
03/17/2020	App di sistema	62
03/17/2020	App di comunicazione	176
03/17/2020	Altro	1103
03/18/2020	Programmi Adobe	424
03/18/2020	Editor di codice	
03/18/2020	Browser	347
03/18/2020	App di sistema	694
03/18/2020	App di comunicazione	30
03/18/2020	Altro	208
03/19/2020	Programmi Adobe	1033
03/19/2020	Editor di codice	5
03/19/2020	Browser	1783
03/19/2020	App di sistema	4487
03/19/2020	App di comunicazione	371
03/19/2020	Altro	1703
03/20/2020	Programmi Adobe	42
03/20/2020	Editor di codice	390
03/20/2020	Browser	1124
03/20/2020	App di sistema	509
03/20/2020	App di comunicazione	0
03/20/2020	Altro	764
03/21/2020	Programmi Adobe	1495
03/21/2020	Editor di codice	112
03/21/2020	Browser	225
03/21/2020	App di sistema	890
03/21/2020	App di comunicazione	
03/21/2020	Altro	1148
03/22/2020	Programmi Adobe	288
03/22/2020	Editor di codice	
03/22/2020	Browser	309
03/22/2020	App di sistema	1809
03/22/2020	App di comunicazione	17
03/22/2020	Altro	1383
03/23/2020	Programmi Adobe	175
03/23/2020	Editor di codice	73
03/23/2020	Browser	888
03/23/2020	App di sistema	1933
03/23/2020	App di comunicazione	
03/23/2020	Altro	2030
03/24/2020	Programmi Adobe	1774
03/24/2020	Editor di codice	252
03/24/2020	Browser	1443
03/24/2020	App di sistema	3455
03/24/2020	App di comunicazione	
03/24/2020	Altro	406
03/25/2020	Programmi Adobe	122
03/25/2020	Editor di codice	797
03/25/2020	Browser	1254
03/25/2020	App di sistema	1700
03/25/2020	App di comunicazione	139
03/25/2020	Altro	384
03/26/2020	Programmi Adobe	75
03/26/2020	Editor di codice	575
03/26/2020	Browser	1596
03/26/2020	App di sistema	771
03/26/2020	App di comunicazione	339
03/26/2020	Altro	430
03/27/2020	Programmi Adobe	1394
03/27/2020	Editor di codice	
03/27/2020	Browser	1170
03/27/2020	App di sistema	1366
03/27/2020	App di comunicazione	502
03/27/2020	Altro	970
03/28/2020	Programmi Adobe	658
03/28/2020	Editor di codice	
03/28/2020	Browser	712
03/28/2020	App di sistema	951
03/28/2020	App di comunicazione	
03/28/2020	Altro	851
03/29/2020	Programmi Adobe	553
03/29/2020	Editor di codice	7
03/29/2020	Browser	98
03/29/2020	App di sistema	3103
03/29/2020	App di comunicazione	
03/29/2020	Altro	653
03/30/2020	Programmi Adobe	494
03/30/2020	Editor di codice	17
03/30/2020	Browser	1489
03/30/2020	App di sistema	4521
03/30/2020	App di comunicazione	
03/30/2020	Altro	2300
03/31/2020	Programmi Adobe	1620
03/31/2020	Editor di codice	323
03/31/2020	Browser	2423
03/31/2020	App di sistema	2305
03/31/2020	App di comunicazione	99
03/31/2020	Altro	579
04/01/2020	Programmi Adobe	252
04/01/2020	Editor di codice	627
04/01/2020	Browser	1622
04/01/2020	App di sistema	565
04/01/2020	App di comunicazione	0
04/01/2020	Altro	604
04/02/2020	Programmi Adobe	499
04/02/2020	Editor di codice	1092
04/02/2020	Browser	2323
04/02/2020	App di sistema	1355
04/02/2020	App di comunicazione	212
04/02/2020	Altro	304
04/03/2020	Programmi Adobe	314
04/03/2020	Editor di codice	691
04/03/2020	Browser	1792
04/03/2020	App di sistema	690
04/03/2020	App di comunicazione	84
04/03/2020	Altro	461
04/04/2020	Programmi Adobe	94
04/04/2020	Editor di codice	880
04/04/2020	Browser	1184
04/04/2020	App di sistema	1044
04/04/2020	App di comunicazione	
04/04/2020	Altro	193
04/05/2020	Programmi Adobe	
04/05/2020	Editor di codice	
04/05/2020	Browser	
04/05/2020	App di sistema	
04/05/2020	App di comunicazione	
04/05/2020	Altro	
04/06/2020	Programmi Adobe	654
04/06/2020	Editor di codice	629
04/06/2020	Browser	704
04/06/2020	App di sistema	2436
04/06/2020	App di comunicazione	22
04/06/2020	Altro	982
04/07/2020	Programmi Adobe	
04/07/2020	Editor di codice	306
04/07/2020	Browser	415
04/07/2020	App di sistema	512
04/07/2020	App di comunicazione	486
04/07/2020	Altro	163
04/08/2020	Programmi Adobe	
04/08/2020	Editor di codice	
04/08/2020	Browser	
04/08/2020	App di sistema	
04/08/2020	App di comunicazione	
04/08/2020	Altro	
04/09/2020	Programmi Adobe	
04/09/2020	Editor di codice	
04/09/2020	Browser	311
04/09/2020	App di sistema	19
04/09/2020	App di comunicazione	1
04/09/2020	Altro	462
04/10/2020	Programmi Adobe	106
04/10/2020	Editor di codice	
04/10/2020	Browser	686
04/10/2020	App di sistema	797
04/10/2020	App di comunicazione	150
04/10/2020	Altro	850
04/11/2020	Programmi Adobe	839
04/11/2020	Editor di codice	
04/11/2020	Browser	430
04/11/2020	App di sistema	1125
04/11/2020	App di comunicazione	695
04/11/2020	Altro	713
04/12/2020	Programmi Adobe	1216
04/12/2020	Editor di codice	
04/12/2020	Browser	593
04/12/2020	App di sistema	1660
04/12/2020	App di comunicazione	182
04/12/2020	Altro	190
04/13/2020	Programmi Adobe	407
04/13/2020	Editor di codice	
04/13/2020	Browser	689
04/13/2020	App di sistema	575
04/13/2020	App di comunicazione	16
04/13/2020	Altro	837
04/14/2020	Programmi Adobe	2579
04/14/2020	Editor di codice	
04/14/2020	Browser	468
04/14/2020	App di sistema	2677
04/14/2020	App di comunicazione	338
04/14/2020	Altro	2129
04/15/2020	Programmi Adobe	332
04/15/2020	Editor di codice	7
04/15/2020	Browser	1027
04/15/2020	App di sistema	1563
04/15/2020	App di comunicazione	473
04/15/2020	Altro	868
04/16/2020	Programmi Adobe	1047
04/16/2020	Editor di codice	
04/16/2020	Browser	1336
04/16/2020	App di sistema	379
04/16/2020	App di comunicazione	178
04/16/2020	Altro	490
04/17/2020	Programmi Adobe	999
04/17/2020	Editor di codice	
04/17/2020	Browser	2070
04/17/2020	App di sistema	2875
04/17/2020	App di comunicazione	
04/17/2020	Altro	1706
04/18/2020	Programmi Adobe	447
04/18/2020	Editor di codice	
04/18/2020	Browser	504
04/18/2020	App di sistema	1897
04/18/2020	App di comunicazione	
04/18/2020	Altro	475
04/19/2020	Programmi Adobe	44
04/19/2020	Editor di codice	0
04/19/2020	Browser	319
04/19/2020	App di sistema	319
04/19/2020	App di comunicazione	3
04/19/2020	Altro	891
04/20/2020	Programmi Adobe	2283
04/20/2020	Editor di codice	
04/20/2020	Browser	2973
04/20/2020	App di sistema	2091
04/20/2020	App di comunicazione	4
04/20/2020	Altro	2912
04/21/2020	Programmi Adobe	3153
04/21/2020	Editor di codice	
04/21/2020	Browser	1856
04/21/2020	App di sistema	2355
04/21/2020	App di comunicazione	0
04/21/2020	Altro	3651
04/22/2020	Programmi Adobe	1472
04/22/2020	Editor di codice	
04/22/2020	Browser	780
04/22/2020	App di sistema	3398
04/22/2020	App di comunicazione	103
04/22/2020	Altro	2347
04/23/2020	Programmi Adobe	3287
04/23/2020	Editor di codice	
04/23/2020	Browser	2556
04/23/2020	App di sistema	3418
04/23/2020	App di comunicazione	
04/23/2020	Altro	2340
04/24/2020	Programmi Adobe	897
04/24/2020	Editor di codice	
04/24/2020	Browser	1549
04/24/2020	App di sistema	2732
04/24/2020	App di comunicazione	92
04/24/2020	Altro	1969
04/25/2020	Programmi Adobe	175
04/25/2020	Editor di codice	
04/25/2020	Browser	23
04/25/2020	App di sistema	532
04/25/2020	App di comunicazione	24
04/25/2020	Altro	406
04/26/2020	Programmi Adobe	706
04/26/2020	Editor di codice	
04/26/2020	Browser	893
04/26/2020	App di sistema	1615
04/26/2020	App di comunicazione	218
04/26/2020	Altro	887
04/27/2020	Programmi Adobe	292
04/27/2020	Editor di codice	0
04/27/2020	Browser	535
04/27/2020	App di sistema	1177
04/27/2020	App di comunicazione	84
04/27/2020	Altro	1703
04/28/2020	Programmi Adobe	1038
04/28/2020	Editor di codice	
04/28/2020	Browser	558
04/28/2020	App di sistema	944
04/28/2020	App di comunicazione	7
04/28/2020	Altro	2247
04/29/2020	Programmi Adobe	1117
04/29/2020	Editor di codice	276
04/29/2020	Browser	1295
04/29/2020	App di sistema	2214
04/29/2020	App di comunicazione	49
04/29/2020	Altro	1648
04/30/2020	Programmi Adobe	130
04/30/2020	Editor di codice	330
04/30/2020	Browser	485
04/30/2020	App di sistema	1148
04/30/2020	App di comunicazione	1011
04/30/2020	Altro	592